Old Table,Used By Adept,New Table,Action,Legacy?
asa$agent,TRUE,agents,Rename,
asa$coach_history,FALSE,coach_histories,Rename,
asa$coach_info,FALSE,coaches,Rename,
asa$col_allstar,FALSE,college_allstar,Rename,
asa$col_cstat_defense,TRUE,college_yearly_def_stats,Rename,
asa$col_cstat_kicker,TRUE,college_yearly_kicking_stats,Rename,
asa$col_cstat_kickret,TRUE,college_yearly_kickret_stats,Rename,
asa$col_cstat_offense,TRUE,college_yearly_off_stats,Rename,
asa$col_cstat_penalty,TRUE,college_yearly_penalty_stats,Rename,
asa$col_cstat_punter,TRUE,college_yearly_punting_stats,Rename,
asa$col_cstat_puntret,TRUE,college_yearly_puntret_stats,Rename,
asa$col_cstat_quarterback,TRUE,college_yearly_passing_stats,Rename,
asa$col_cstat_receiving,TRUE,college_yearly_receiving_stats,Rename,
asa$col_cstat_rushing,TRUE,college_yearly_rushing_stats,Rename,
asa$col_cstat_st,TRUE,college_yearly_st_stats,Rename,
asa$col_greenbook,FALSE,college_greenbook,Rename,
asa$col_igame,FALSE,college_game,Rename,
asa$col_istat_defense,FALSE,college_weekly_def_stats,Rename,
asa$col_istat_general,FALSE,college_weekly_general_stats,Rename,
asa$col_istat_kicking,FALSE,college_weekly_kicking_stats,Rename,
asa$col_istat_kickret,FALSE,college_weekly_kickret_stats,Rename,
asa$col_istat_offense,FALSE,college_weekly_off_stats,Rename,
asa$col_istat_passing,FALSE,college_weekly_passing_stats,Rename,
asa$col_istat_penalty,FALSE,college_weekly_penalty_stats,Rename,
asa$col_istat_punting,FALSE,college_weekly_punting_stats,Rename,
asa$col_istat_puntret,FALSE,college_weekly_puntret_stats,Rename,
asa$col_istat_receiving,FALSE,college_weekly_receiving_stats,Rename,
asa$col_istat_rushing,FALSE,college_weekly_rushing_stats,Rename,
asa$col_istat_st,FALSE,college_weekly_st_stats,Rename,
asa$col_norms,FALSE,,Delete,
asa$col_norms_measurements,FALSE,,Delete,
asa$col_norms_tests,FALSE,,Delete,
asa$col_player,TRUE,college_players,Rename,
asa$col_stat_defense,FALSE,,Delete,
asa$cplyr_character,TRUE,college_characters,Rename,
asa$cplyr_clip,FALSE,legacy_college_clip,Rename,TRUE
asa$cplyr_history,TRUE,college_histories,Rename,
asa$cplyr_incident,TRUE,college_incidents,Rename,
asa$cplyr_injury,TRUE,college_injuries,Rename,
asa$cplyr_notes,FALSE,legacy_college_notes,Rename,TRUE
asa$eval_grade,TRUE,college_evaluation_grades,Rename,
asa$evaluation,TRUE,college_evaluations,Rename,
asa$factor,TRUE,college_evaluation_factors,Rename,
asa$factor_type,TRUE,college_evaluation_factor_types,Rename,
asa$log,FALSE,,Delete,
asa$pics,FALSE,,Delete,
asa$pos_factor,TRUE,position_factors,Rename,
asa$position,TRUE,positions,Rename,
asa$school,TRUE,schools,Rename,
asa$scout,TRUE,scouts,Rename,
asa$taps,TRUE,taps,Rename,
asa$top_cplyr,FALSE,,Delete,
asa$videolog,FALSE,,Delete,
asa$workout,TRUE,workouts,Rename,
asa$wrkt_type,TRUE,workout_types,Rename,
college_searches,TRUE,college_searches,Rename,
companies,TRUE,companies,Rename,
dan_asa$evaluation,FALSE,,Delete,
depth_charts,TRUE,depth_charts,Rename,
field_conditions,TRUE,field_conditions,Rename,
nep_allstar_grades,FALSE,,Delete,
nep_bobworkout,FALSE,,Delete,
nep_indy_grades,FALSE,,Delete,
nep_national_grades,FALSE,,Delete,
nep_pro$player,FALSE,,Delete,
nep_temp_check_grades,FALSE,,Delete,
nfs$evaluation,FALSE,nfs_evaluation,Rename,
nfs$hws,FALSE,nfs_hws,Rename,
pro$clips,TRUE,pro_clips,Rename,
pro$contracts,FALSE,,Delete,
pro$evaluations,TRUE,pro_evaluations,Rename,
pro$injuries,TRUE,pro_injuries,Rename,TRUE
pro$missing_playerid,TRUE,missing_transactions,Rename,
pro$player,TRUE,pro_players,Rename,
pro$playtime,TRUE,pro_playtime_stats,Rename,
pro$pstat_defense,TRUE,pro_yearly_def_stats,Rename,
pro$pstat_kickret,TRUE,pro_yearly_kickret_stats,Rename,
pro$pstat_offense,TRUE,pro_yearly_off_stats,Rename,
pro$pstat_puntkick,TRUE,pro_yearly_puntkick_stats,Rename,
pro$pstat_puntret,TRUE,pro_yearly_puntret_stats,Rename,
pro$pstat_quarterback,TRUE,pro_yearly_passing_stats,Rename,
pro$pstat_receiving,TRUE,pro_yearly_receiving_stats,Rename,
pro$pstat_rushing,TRUE,pro_yearly_rushing_stats,Rename,
pro$statuscodes,TRUE,transaction_statuses,Rename,
pro$teams,TRUE,teams,Rename,
pro$transactions,TRUE,transactions,Rename,
pro$transcodes,TRUE,transaction_codes,Rename,
pro_searches,TRUE,pro_searches,Rename,
reports,TRUE,reports,Rename,
roles,TRUE,roles,Rename,
schema_migrations,TRUE,schema_migrations,Rename,
sqln_explain_plan,FALSE,,Delete,
temp$pts,FALSE,,Delete,
templates,TRUE,templates,Rename,
users,TRUE,users,Rename,
users_roles,TRUE,users_roles,Rename,
versions,TRUE,versions,Rename,
workout_day_scouts,TRUE,workout_day_scouts,Rename,
workout_days,TRUE,workout_days,Rename,
